市立復興高中,423301
市立中正高中,423302
天主教明誠高中,521301
私立大榮高中,521303
市立鼓山高中,523301
市立左營高中,533301
高雄市立新莊高中,533302
國立中山大學附屬國光高中,540301
市立中山高中,543301
市立楠梓高中,543302
私立立志高中,551301
南海月光實驗學校,551303
市立高雄中學,553301
市立三民高中,553302
市立新興高中,563301
市立高雄女中,573301
國立高師大附中,580301
私立復華高中,581301
天主教道明中學,581302
市立中正高中,583301
市立前鎮高中,593301
市立瑞祥高中,593302
市立小港高中,613301
國立金門高中,710301
國立馬祖高中,720301
私立樹人家商,011405
私立復興商工,011407
私立南強工商,011408
私立穀保家商,011413
私立開明工商,011419
私立智光商工,011420
私立清傳高商,011421
私立能仁家商,011426
私立豫章工商,011427
私立莊敬工家,011431
私立中華商海,011432
市立瑞芳高工,013402
市立三重商工,013430
市立新北高工,013433
市立淡水商工,013434
市立鶯歌工商,014439
市立樟樹國際實中,014468
國立宜蘭高商,020403
國立羅東高商,020404
國立蘇澳海事,020405
國立羅東高工,020407
國立頭城家商,020409
國立北科大附屬桃園農工,030403
私立成功工商,031414
私立方曙商工,031415
私立永平工商,031421
市立中壢高商,033407
市立中壢家商,033408
私立內思高工,041401
國立大湖農工,050401
國立苗栗農工,050404
國立苗栗高商,050407
私立中興商工,051408
私立育民工家,051411
私立賢德工商,051412
私立龍德家商,051413
市立豐原高商,063401
市立大甲高工,063402
市立東勢高工,063404
市立沙鹿高工,063407
市立霧峰農工,063408
市立神岡高工,064406
國立彰師附工,070401
國立永靖高工,070402
國立二林工商,070403
國立秀水高工,070405
國立彰化高商,070406
國立員林農工,070408
國立員林崇實高工,070409
國立員林家商,070410
國立北斗家商,070415
私立大慶商工,071413
私立達德商工,071414
國立仁愛高農,080401
國立埔里高工,080403
國立南投高商,080404
國立草屯商工,080406
國立水里商工,080410
南投縣同德高中,081409
國立虎尾農工,090401
國立西螺農工,090402
國立斗六家商,090403
國立北港農工,090404
國立土庫商工,090413
私立大成商工,091410
私立大德工商,091414
國立民雄農工,100402
私立協志工商,101405
私立萬能工商,101406
國立新化高工,110401
國立白河商工,110403
國立北門農工,110404
國立曾文家商,110405
國立新營高工,110406
國立玉井工商,110407
國立臺南高工,110409
國立曾文農工,110410
私立陽明工商,111419
私立育德工家,111427
國立旗山農工,120401
國立岡山農工,120402
國立鳳山商工,120409
私立中山工商,121405
私立旗美商工,121410
私立高英工商,121413
私立華德工家,121415
私立高苑工商,121417
國立內埔農工,130401
國立屏東高工,130403
國立佳冬高農,130404
國立東港海事,130410
國立恆春工商,130417
私立民生家商,131409
私立日新工商,131418
國立關山工商,140404
國立臺東高商,140405
國立成功商水,140408
私立公東高工,141406
國立花蓮高農,150401
國立花蓮高工,150404
國立花蓮高商,150405
國立光復商工,150411
花蓮縣上騰工商,151410
國立澎湖海事水產,160401
國立海洋大學附屬基隆海事,170403
國立基隆商工,170404
私立光隆家商,171405
私立培德工家,171407
國立新竹高商,180403
國立新竹高工,180404
國立興大附農,190406
財團法人光華高工,191412
市立臺中家商,193404
市立臺中高工,193407
國立華南高商,200401
國立嘉義高工,200405
國立嘉義高商,200406
國立嘉義家職,200407
私立東吳工家,201408
國立臺南高商,210408
國立臺南海事,210416
私立南英商工,211407
私立亞洲餐旅,211412
私立慈幼工商,211419
臺北市普林思頓高中,311401
市立松山家商,323401
市立松山工農,323402
私立東方工商,331402
私立喬治工商,331403
私立開平餐飲,331404
市立大安高工,333401
私立稻江護家,341402
臺北市開南高中,351402
私立稻江高商,361401
市立木柵高工,383401
市立南港高工,393401
市立內湖高工,403401
私立華岡藝校,411401
市立士林高商,413401
私立惇敘工商,421404
私立中華藝校,521401
市立海青工商,533401
市立三民家商,533402
私立樹德家商,551402
